participant_ID;text_ID;error;error_type;fb_type
API1;API1_1;estos delincuentes estarían (libre) [libres];núm.;D.N.M
API1;API1_1;así (nos resulta) [se nos plantea] la pregunta;sust.;R
API1;API1_1;la pregunta [de] si existirían otras formas de penalización;reg.;D.N.M
API1;API1_1;si la cárcel tiene suficiente (eficaz) [eficacia];sust.;D.N.M
API1;API1_1;con (gran) [mucha] frecuencia se oye que las prisiones;sust.;I.L.
API1;API1_1;si fuera (a) [al] revés;det.;D.N.M
API1;API1_1;seguramente habría [un] mayor número de prisioneros;det.;D.N.M
API1;API1_1;aunque exista (la) [un sistema de] penalización;esp.;R
API1;API1_1;tienen miedo (hacia) [de] las cárceles;reg.;
API1;API1_1;personas que tienen que (hacer el) [pasar por un] encarcelamiento;sust.;R
API1;API1_1;a ese (fin) [respecto], está visto que la penalización también frena el acto de cometer un crimen;sust.;D.N.M
API1;API1_1;la pregunta de (lo) qué haríamos con los delincuentes si no hubiera cárceles;det.;D.N.M
API1;API1_1;por ahora (resulta) [parece] que es la mejor opción de castigo para los delincuentes;sust.;D.N.M
API1;API1_1;es la mejor opción de castigo para los delincuentes. No obstante, hay que (repensarlo) [repensarla];gen.;D.M.
API1;API1_2;cada minuto desforestan la selva tropical (por un tamaño de) [el equivalente a] 42 campos de fútbol;sust.;R
API1;API1_2;no lo respetamos (suficientemente) [lo suficiente];sint.;D.N.M
API1;API1_2;la seva amazónica posee [una] enorme cantidad de especies;det.;D.N.M
API1;API1_2;esta (rara) cosa [rara];ord.;D.N.M
API1;API1_2;también (se puede poner el reloj) [puede marcar la hora];sust.;R
API1;API1_2;el pueblo Nurak (se) está desapareciendo por la riqueza mundial;pron.;D.N.M
API1;API1_2;muchos indígenas decidieron cambiar (la) [de] vida;reg.;D.N.M
API1;API1_2;unirse (con) [a] la civilización moderna;reg.;D.N.M
API1;API1_2;¡cómo (se) ha cambiado esta región!;pron.;D.N.M
API1;API1_2;nosotros solo podemos intentar (contraponernos) [resistirnos];sust.;
API1;API1_2;(a) [por] ello, a algunos les obligan a trabajar en las plantaciones de caucho;reg.;D.N.M
API1;API1_2;los grandes (abusan) [vulneran] nuestros derechos humanos;sust.;D.N.M
API1;API1_2;bajo (el maltrato del respeto hacia nosotros) [el maltrato y la falta de respeto];sust.;I.L.
API1;API1_2;no queremos ofender a las (poderosas) personas [poderosas];ord.;D.M.
API1;API1_2;(qué) [que] se den cuenta;sust.;D.M.
API1;API1_2;que se den cuenta [de] que nos están robando las plantaciones;reg.;D.N.M
API1;API1_2;la destrucción de la base de nuestra vida y (capturarnos como esclavos) [nuestra esclavización];ana.;R
API1;API1_2;¿por qué parece que nadie se (importe) [preocupe] por la reserva natural?;sust.;D.N.M
API1;API1_3;para (plantar) [plantarlos] y reproducirlos;pron.;D.N.M
API1;API1_3;para saber a (que) [qué] hora;sust.;D.N.M
API1;API1_3;entraron a una hora (donde) [en la que] no había nadie;sint.;D.N.M
API1;API1_3;(Pero) [No obstante], uno de los trabajadores ya había pulsado el botón de alarma;sust.;D.N.M
API1;API1_3;optaron por atar a todos los trabajadores y los (metieren) [metieron];sust.;D.N.M
API1;API1_3;ya se les había (caído) [arruinado] el plan;sust.;D.N.M
API1;API1_3;para que los demás no influyeran (a) [al] tomar la decisión;det.;D.N.M
API1;API1_3;se le (cruzaban) [pasaban] un montón de ideas por la cabeza;sust.;D.N.M
API1;API1_3;el trabajador hizo la llamada y le (confesó) [contó] a la compañía todo lo que esos ladrones;sust.;D.M.
API1;API1_3;borrar todas las imágenes y videos de las (cameras) [cámaras];sust.;D.N.M
API1;API1_4;desde que el deporte gobierna las redes sociales (hay) [ejerce] una gran influencia;sust.;
API1;API1_4;el nuevo estereotipo (de) [para] las mujeres;reg.;
API1;API1_4;(se considera) [consiste] en ser delgada y con curvas;sust.;
API1;API1_4;pero, (esta) [esa] vida, la que vive esa gente, es una broma;det.;
API1;API1_4;temas como la nutrición, las dietas, el aspecto físico y el deporte (importa) [importan] a los jóvenes y se (hace viral) [hacen virales];núm.;
API1;API1_4;¡(Qué) [que] disfruten de su juventud y que no confíen en esa invasión!;sust.;
API1;API1_4;(Helados, Hamburguesas, Patatas fritas) [helados, hamburguesas, patatas fritas];ort.;
API1;API1_4;dile que no existe [la] buena alimentación.;det.;
API1;API1_4;y una (coca cola) [Coca-Cola] fresca;ort.;
API1;API1_4;nutricionistas: ¿qué coño es (esto) [eso]?;det.;
API1;API1_4;pagarás un huevo (para) [por] una cita en el nutricionista;reg.;
API1;API1_4;ni el espejo (no refleja la realidad) ni la báscula [reflejan la realidad];ord.;
API1;API1_4;que [te] hacen ver todos los poros y granos;pron.;
API1;API1_4;pero, (de verdad) [en realidad], solo te hace malgastar tu tiempo libre;sust.;
API1;API1_4;hacer (por dos horas) deporte [por dos horas];ord.;
API1;API1_4;la naturaleza se irá por el (sumidero) [desagüe];sust.;
API1;API1_4;¿qué te importa el medioambiente (en el ámbito de) [para] comer carne?;ana.;
API1;API1_4;batidos de (proteína) [proteínas];núm.;
API1;API1_4;¿qué es este polvo (qué) [que] suele tomar la gente?;sust.;
API1;API1_4;en vez de ponerse (fuerte) [fuertes] se van a convertir en un pastel;núm.;
API1;API1_4;te forras si no pagas (para) [por] este estilo de vida;reg.;
ARE1;ARE1_1;cuando hablamos de la cárcel y (todos) [todas] sus consecuencias;gen.;D.N.M
ARE1;ARE1_1;todas sus consecuencias y efectos (que vienen con ella como sistema);exce.;I.M.
ARE1;ARE1_1;creo que es necesario (verlo) [verlos] desde dos puntos de vista diferentes;núm.;I.M.
ARE1;ARE1_1;porque (las dos cosas) [ambas perspectivas] están inevitablemente entrelazadas;sust.;I.M.
ARE1;ARE1_1;por lo menos en las naciones (del llamado oeste) [occidentales];ana.;D.M.
ARE1;ARE1_1;una de las razones podría ser que (cuánto) [cuanto] más grande es un grupo o una sociedad;sust.;D.N.M
ARE1;ARE1_1;sobre el asunto (y) [e] intentar;ort.;D.N.M
ARE1;ARE1_1;lo que seguramente es bueno si (tienes) [tienen] que convivir con otros en una comunidad;núm.;I.M.
ARE1;ARE1_1;hay que tener mucho cuidado [para] que los carceleros;reg.;D.N.M
ARE1;ARE1_1;los carceleros traten (humano) a los presos [con humanidad];sust.;D.N.M
ARE1;ARE1_1;(al) [por] otro lado;reg.;D.N.M
ARE1;ARE1_1;sí entiendo (porque) [por qué] los afectados;sust.;D.N.M
ARE1;ARE1_1;los afectados (de) [por] un crimen;reg.;D.N.M
ARE1;ARE1_2;en el rinconcito de la (tierra) [Tierra] donde nací;sust.;D.M.
ARE1;ARE1_2;en el rinconcito de la Tierra donde nací, (el) Weinviertel;det.;D.M.
ARE1;ARE1_2;(ese) [este] territorio que queda en la esquina nororiental de Austria;det.;D.N.M
ARE1;ARE1_2;cuenta con (soñadoras) colinas [de ensueño];sust.;I.M.
ARE1;ARE1_2;este hecho actualmente se está alterando, (causado por el) [a causa del] cambio climático;sust.;D.N.M
ARE1;ARE1_2;la región en esencia (se da) [es] tranquila;sust.;D.N.M
ARE1;ARE1_2;un (destrozador) remolino [destrozador];ord.;
ARE1;ARE1_2;el tornado que llegó (a los fines de) [a finales de] junio del año pasado;sust.;I.M.
ARE1;ARE1_2;los muebles (de) [del] jardín;det.;D.N.M
ARE1;ARE1_2;[no] era nada insólito;elip.;D.N.M
ARE1;ARE1_2;la catástrofe se (dio por) [dejó] ver al día siguiente;sust.;D.N.M
ARE1;ARE1_2;varios videos (cursaban) [circulaban] mostrando la ominosa fuerza de la naturaleza;sust.;D.N.M
ARE1;ARE1_2;unos expertos (de) [en] construcción;reg.;D.N.M
ARE1;ARE1_2;(aun) [aún] no saben la magnitud de los perjuicios;sust.;
ARE1;ARE1_2;continuaban (a caer) [cayendo] tejas;creac.;D.N.M
ARE1;ARE1_2;los expertos (de) [en] construcción;reg.;D.N.M
ARE1;ARE1_2;(aun) [aún] nadie sabía muy bien cuánto sería el perjuicio financiero y económico;sust.;D.M.
ARE1;ARE1_2;su familia también tenía (una vinícola) [un viñedo];sust.;I.M.
ARE1;ARE1_3;las consecuencias económicas en los (respectos) países [involucrados];sust.;D.N.M
ARE1;ARE1_3;favorece las naciones con (los suficientes) [más] recursos financieros;sust.;D.N.M
ARE1;ARE1_3;(algunos) [algunas], por otro lado, pudieron salir de este estado;gen.;D.M.
ARE1;ARE1_3;involucrados (a nivel del) [en el] mercado financiero público y no solo (del) [en el] privado;ana.;R
ARE1;ARE1_3;que levanten la fuerza económica de las (unidades) [entidades] desfavorecidas;sust.;D.N.M
ARE1;ARE1_3;para (concluír) [concluir];ort.;I.L.
ARE1;ARE1_3;la única manera [de enfrentarnos a la globalización] es mirar hacia adelante;esp.;I.M.
ARE1;ARE1_3;para aprovechar las (dadas) oportunidades [dadas];ord.;D.N.M
ARE1;ARE1_3;necesitamos llegar a acuerdos y procurar [un] consenso para que las identidades nacionales;det.;D.N.M
ARE1;ARE1_4;(Paris) [París];ort.;
ARE1;ARE1_4;se había (pasado) [saltado] varios semáforos en rojo;sust.;
ARE1;ARE1_4;se había saltado varios semáforos (rojos) [en rojo];sint.;
ARE1;ARE1_4;que causó [un gran] desorden el jueves por la tarde;elip.;
ARE1;ARE1_4;(conduciendo a) [a una velocidad de] unos 200 km/h;sust.;
ARE1;ARE1_4;testigos oculares aseguran que (se) serpenteaba por una caravana de coches;pron.;
ARE1;ARE1_4;a unos (de los) empleados en vigilancia;exce.;
ARE1;ARE1_4;(el) [la] imagen en infrarrojo mostraba a dos personas;gen.;
ARE1;ARE1_4;la (esbelta) [nítida] silueta de una silla de ruedas;sust.;
ARE1;ARE1_4;(al) [en el] momento de acercarse al coche, el conductor salió voluntariamente;reg.;
ARE1;ARE1_4;con las manos [en alto] señalando su inocencia;elip.;
ARE1;ARE1_4;por una parálisis (que fue) resultado de un accidente;exce.;
ASA1;ASA1_1;castigo (a) [por] todas partes;reg.;D.M.
ASA1;ASA1_1;con el objetivo de (castigar) [castigarlos] y humillarlos;pron.;D.N.M
ASA1;ASA1_1;incluso su derecho (de) [a] voto;reg.;D.N.M
ASA1;ASA1_1;si el trato (de) [a] los presos;reg.;D.N.M
ASA1;ASA1_1;(sólo) [solo] se enfoca en castigarlos y humillarlos;ort.;D.N.M
ASA1;ASA1_1;se [las] puede (convertirlas) [convertir];ord.;
ASA1;ASA1_1;ahí se les puede enseñar lo que les (falte) [haga falta] para poder vivir una vida normal;sint.;D.N.M
ASA1;ASA1_1;aprender cómo trabajar en equipo y (completar) [desempeñar] un trabajo que los enorgullezca;sust.;D.N.M
ASA1;ASA1_2;durante cientos de años [no] había habido ni una sola alma;elip.;D.N.M
ASA1;ASA1_2;esa parte del paisaje estaba completamente (tenebroso) [tenebrosa];gen.;D.M.
ASA1;ASA1_2;desafortunadamente, la situación (se empeoró) [empeoraba] cada vez que llegaba a un punto;pron.;D.N.M
ASA1;ASA1_2;hasta que, por más que se esforzara, [ya] no lograba ver nada;elip.;D.N.M
ASA1;ASA1_2;ya que ni siquiera era capaz de entrever la (seda) [senda] que la iba a guiar hasta la salida;sust.;D.N.M
ASA1;ASA1_2;notó cómo se (inició) [empezó] a iluminar su entorno;sust.;D.N.M
ASA1;ASA1_2;hasta que (éste) [este] paró;ort.;I.L.
ASA1;ASA1_2;en su centro (estaba) [se encontraba] una cueva;sust.;D.N.M
ASA1;ASA1_2;una cueva llena de (moneda) [monedas] de oro;núm.;D.N.M
ASA1;ASA1_2;"dejaron de considerar el ""bosque oscuro"" como algo terrorífico, (sino) [puesto] que aprendieron a";sust.;D.N.M
ASA1;ASA1_2;incluso los parajes más desgraciados del mundo pueden ser (bellas) [bellos];gen.;
ASA1;ASA1_3;por un lado, la (locutora) [conferenciante] resume los efectos pasados;sust.;D.M.
ASA1;ASA1_3;los efectos pasados de (ésta) [esta] y los resultados de estudios;ort.;I.L.
ASA1;ASA1_3;da a conocer su propia (opinion) [opinión] respecto al tema;ort.;D.N.M
ASA1;ASA1_3;explica que los expertos definen (ese) [este] término;det.;D.N.M
ASA1;ASA1_3;Por ejemplo, en Africa [África], la globalización contribuye a que el comercio;ort.;D.N.M
ASA1;ASA1_3;concluyen que (éstas) [estas] han sido mayoritariamente negativas;ort.;I.L.
ASA1;ASA1_4;al entender que las autoridades no demostraban ni el [más] mínimo interés en buscar el cuerpo;elip.;
ASA1;ASA1_4;todavía fuera capaz de (hacer) [dar con] semejante hallazgo;sint.;
ASA1;ASA1_4;para averiguar si (uno) [alguno] de ellos había tenido algún vínculo con una mujer;det.;
ASA1;ASA1_4;sabía que (era) el doctor (quien) era el responsable de todas las muertes;exce.;
ASA1;ASA1_4;estaba claro que el autor debía (de) haber dispuesto de conocimientos avanzados;sust.;
ASA1;ASA1_4;ella se había negado a (divorciarlo) [divorciarse de él];sint.;
AZC1;AZC1_1;ni para la sociedad (fuera de las rejas) [libre];ana.;I.M.
AZC1;AZC1_1;los (ex presos) [expresidiarios];sust.;D.N.M
AZC1;AZC1_1;¿(es una mala persona) [son malas personas] o la gente puede mejorar?;núm.;D.N.M
AZC1;AZC1_1;una empresa que sensibiliza a los jóvenes (llamativos) [conflictivos] sobre las consecuencias;sust.;D.M.
AZC1;AZC1_1;no solo los (antiguos presos) [excarcelados] tienen que trabajar;ana.;D.N.M
AZC1;AZC1_1;trabajar sobre (si) [sí] mismos;sust.;D.N.M
AZC1;AZC1_1;también la sociedad (fuera de la cárcel) [libre];ana.;D.N.M
AZC1;AZC1_2;¿alguna vez has estado tan (apretado) [estresado] que crees que tu cerebro va a explotar?;sust.;D.M.
AZC1;AZC1_2;tu mente ya está (rellena) [llena] de ideas de tu día previsto y tus tareas;sust.;D.N.M
AZC1;AZC1_2;¿serán todos los días exactamente así para (mi) [mí]?;sust.;D.N.M
AZC1;AZC1_2;(camino) [camina] por un sendero que no sabes exactamente adónde conduce;núm.;D.N.M
AZC1;AZC1_2;es difícil concentrarse (sólo) [solo] en eso;ort.;I.L.
AZC1;AZC1_2;concéntrate (sólo) [solo] en las olas que se dirigen;ort.;
AZC1;AZC1_2;(hermosos) [hermosas] memorias de vacaciones familiares;gen.;D.N.M
