participant_ID,composition_number,text_ID,error,error_type,fb_type
AMN1,1st,AMN1_1,después de haber (vuelto a la) [sido puestos en] libertad,,
AMN1,1st,AMN1_1,se atribuye al hecho [de] que hay una escasez inmensa de psicólogos,,
AMN1,1st,AMN1_1,[y a que] las terapias son genéricas y voluntarias,,
AMN1,1st,AMN1_1,la condena sigue (presentando efectos en) [afectando] su día a día,,
AMN1,1st,AMN1_1,un lugar donde (hay) las posibilidades de educarse o formarse son limitadas,,
AMN1,1st,AMN1_1,[muchos entraron en la cárcel] a causa de la falta de recursos financieros (muchos entraron en la cárcel),,
AMN1,1st,AMN1_1,a causa de [la] falta de recursos financieros,,
AMN1,1st,AMN1_1,"(sintetizando) [en resumen], se puede decir que siempre es fácil",,
AMN1,1st,AMN1_1,cuando todavía (estaba) [era] de noche,,
AMN1,1st,AMN1_1,no parece tener (un) fin,,
AMN1,1st,AMN1_1,las colinas alrededor adornan (majestosamente) [majestuosamente] el paisaje,,
AMN1,1st,AMN1_1,"por muy encantadora que sea la vista, el brillo del sol me está cegando y evito (mirarlo) [mirarla]",,
AMN1,1st,AMN1_1,sacan al animal de las [húmedas] profundidades (húmedas)…,,
AMN1,1st,AMN1_1,repetición léxica,,
AMN1,2nd,AMN1_2,primera ascensión humana (del) [al] monte Olimpo,,
AMN1,2nd,AMN1_2,serían la primera vez que [los] humanos pisarían la tierra,,
AMN1,2nd,AMN1_2,(en) [a] una altura de aproximadamente 22 mil metros,,
AMN1,2nd,AMN1_2,les quedaban (unos lejanos) [incontables] atardeceres más,,
AMN1,2nd,AMN1_2,los escarpados acantilados del (Mount) [monte] Everest,,
AMN1,2nd,AMN1_2,la falta de aire que se siente en las altitudes [terrestres] aquí no importaba,,
AMN1,2nd,AMN1_2,puesto que (el) Marte carecía de aire por completo,,
AMN1,2nd,AMN1_2,"además, (ni) el peso corporal de los taikonautas [no] se parecía al de la Tierra",,
AMN1,2nd,AMN1_2,los escasos recuerdos de la tierra que habían mantenido en su mente no les (pudo) [pudieron],,
AMN1,2nd,AMN1_2,la [verdadera] razón (verdadera),,
AMN1,2nd,AMN1_2,la subida mínima que (dejó cuestionar) [hizo cuestionarse] al equipo,,
AMN1,2nd,AMN1_2,la subida mínima que hizo cuestionarse al equipo si realmente (estaban) [estaba] avanzando,,
AMN1,2nd,AMN1_2,seguían su camino hasta (encontrarse) [quedar] rendidos,,
AMN1,2nd,AMN1_2,(en) [bajo] ninguna circunstancia era válido arriesgar el éxito de la misión,,
AMN1,2nd,AMN1_2,con el último ánimo que (sobraba en ellos) [les quedaba],,
AMN1,2nd,AMN1_2,una indefinible forma azul destacó (de) [en] la rojísima superficie que los rodeaba,,
AMN1,2nd,AMN1_2,a (la) medida que se acercaban,,
AMN1,2nd,AMN1_2,"a medida que se acercaban, (obligaron) [se vieron obligados] a concretar la forma",,
AMN1,2nd,AMN1_2,se dieron cuenta [de] que se trataba de una tienda antigua,,
AMN1,2nd,AMN1_2,irritados (y) [e] incrédulos,,
AMN1,2nd,AMN1_2,cigarrillos (no sabían qué (era) [eran]),,
AMN1,2nd,AMN1_2,la denominación [de] basura,,
AMN1,2nd,AMN1_2,la falta de oxígeno les (forzó) [obligó a] parar con su carrera infantil,,
AMN1,2nd,AMN1_2,"(similar) [similares] a telas de araña, estaban colgadas en las laderas coloridas banderas",,
AMN1,2nd,AMN1_2,la cumbre (era) [estaba] cubierta por huesos humanos,,
AMN1,2nd,AMN1_2,(al) [a] punto de desmayarse por el cansancio,,
AMN1,3rd,AMN1_3,[el] Líbano,,
AMN1,3rd,AMN1_3,se divulga la noticia [de] que Italia prepara sus armas nucleares,,
AMN1,3rd,AMN1_3,el jefe (del) [de] estado,,
AMN1,3rd,AMN1_3,el (imperador) [emperador],,
AMN1,3rd,AMN1_3,los países (que son los objetivos) [objeto] de la invasión a gran escala,,
AMN1,3rd,AMN1_3,carecen de cualquier (legitimación) [legitimidad],,
AMN1,3rd,AMN1_3,carecen de cualquier legitimidad (de) [para] ser independientes,,
AMN1,3rd,AMN1_3,"cuyo [poder] militar ocupaba enormes superficies en Europa, Asia y África",,
AMN1,3rd,AMN1_3,algunas naciones (más que comparten una frontera con dichos países) [colindantes],,
AMN1,3rd,AMN1_3,desea (reestablecer) [restablecer] el equilibrio de poder,,
AMN1,3rd,AMN1_3,el derecho de los pueblos atacados (de) [a] gobernar su patria,,
AMN1,3rd,AMN1_3,"sin el Impero romano, (el continente) Europa no habría avanzado con la misma velocidad",,
AMN1,3rd,AMN1_3,en cuestiones de (la) tecnología o de (la) ciencia,,
AMN1,3rd,AMN1_3,el (imperador) [emperador],,
AMN1,3rd,AMN1_3,en su (provocador) [provocadora] invectiva,,
AMN1,3rd,AMN1_3,"prohibir y abolir todos (estos) [esos] ""abominables dialectos""",,
AMN1,3rd,AMN1_3,ordenó (la mudanza) [el traslado] de todos los leones de los parques zoológicos italianos,,
AMN1,3rd,AMN1_3,(pan y juegos) [pan y circo],,
AMN1,3rd,AMN1_3,repetición léxica,,
AMN1,4th,AMN1_4,que acabarían contigo (dentro de) [en apenas] unos segundos,,
AMN1,4th,AMN1_4,(mamarracho) [Mamarracho],,
AMN1,4th,AMN1_4,¿nunca te (daría cosquillas) [conmovería]?,,
AMN1,4th,AMN1_4,¿te gusta invertir [el] cien por ciento de tu rendimiento en ti mismo?,,
AMN1,4th,AMN1_4,la mejor serie (que) jamás (ha sido) producida,,
AMN1,4th,AMN1_4,la mejor serie jamás (producido) [producida],,
AMN1,4th,AMN1_4,subir una foto (en) [a] Instagram,,
AMN1,4th,AMN1_4,una frase (super inspiradora) [superinspiradora],,
AMN1,4th,AMN1_4,(quitas) [cortas] el contacto,,
AMN1,4th,AMN1_4,para (salvar) [salvaguardar] tu propia energía positiva,,
AMN1,4th,AMN1_4,qué alivio que (estos) [esos] desgraciados se hayan marchado,,
AMN1,4th,AMN1_4,ahora que (esta) [esa] especie extraña de personas se ha ido,,
AMN1,4th,AMN1_4,una nueva plataforma (donde) [a través de la cual] sacar la plata,,
AMN1,4th,AMN1_4,sacar la plata (de) [a] sus fieles discípulos,,
AMN1,4th,AMN1_4,a pesar de haber leído (unos) [algunos] libros ellos mismos,,
AMN1,4th,AMN1_4,se convierten en versiones aún más retorcidas [de sus preceptores],,
AMN1,4th,AMN1_4,por Instagram se ven un montón de páginas (o por lo menos yo (los) [las] veo),,
AMN1,4th,AMN1_4,donde un fulano (yo sé qué) [no sé quién] te explica,,
AMN1,4th,AMN1_4,te explica (como) [cómo] cumplir tus sueños,,
AMN1,4th,AMN1_4,no hace falta ser (una) [un] atleta,,
AMN1,4th,AMN1_4,consejos (deportistas) [deportivos],,
AMN1,4th,AMN1_4,escuelas de (Yoga) [yoga],,
AMN1,4th,AMN1_4,consejos deportivos o (nutritivos) [nutricionales],,
AMN1,4th,AMN1_4,seguir a profetas (falsas) [falsos],,
AMN1,4th,AMN1_4,las personas que salen de la puerta infernal de la autoayuda suelen estar (ocupados) [ocupadas],,
AMN1,4th,AMN1_4,con una [sola] cosa,,
AMN1,4th,AMN1_4,no te pases (el) [de] listo,,
AMN1,4th,AMN1_4,en el instante [en] que muestran debilidades,,
AMN1,4th,AMN1_4,ve al parque zoológico (en) [de] tu ciudad,,
AMN1,4th,AMN1_4,observa a (unos) [algunos] carnívoros de carne y hueso,,
AMN1,4th,AMN1_4,observa [a] algunos carnívoros de carne y hueso,,
AMN1,4th,AMN1_4,repetición léxica,,
API1,1st,API1_1,entre los años 2016 (hasta) [y] 2021,,
API1,1st,API1_1,"los tres países con mayor número de prisioneros (cuentan) [suman] aproximadamente 4,5 millones",,
API1,1st,API1_1,si nos imagináramos (que no hubiera) [un mundo sin] cárceles,,
API1,1st,API1_1,estos delincuentes estarían (libre) [libres],,
API1,1st,API1_1,así (nos resulta) [se nos plantea] la pregunta,,
API1,1st,API1_1,la pregunta [de] si existirían otras formas de penalización,,
API1,1st,API1_1,si la cárcel tiene suficiente (eficaz) [eficacia],,
API1,1st,API1_1,con (gran) [mucha] frecuencia se oye que las prisiones,,
API1,1st,API1_1,si fuera (a) [al] revés,,
API1,1st,API1_1,seguramente habría [un] mayor número de prisioneros,,
API1,1st,API1_1,aunque exista (la) [un sistema de] penalización,,
API1,1st,API1_1,puede ser que [esta situación] también tenga que ver con la pujanza,,
API1,1st,API1_1,tienen miedo (hacia) [de] las cárceles,,
API1,1st,API1_1,personas que tienen que (hacer el) [pasar por un] encarcelamiento,,
API1,1st,API1_1,"a ese (fin) [respecto], está visto que la penalización también frena el acto de cometer un crimen",,
API1,1st,API1_1,"ofrecen muchas actividades, trabajos y (el) servicio médico",,
API1,1st,API1_1,la pregunta de (lo) qué haríamos con los delincuentes si no hubiera cárceles,,
API1,1st,API1_1,por ahora (resulta) [parece] que es la mejor opción de castigo para los delincuentes,,
API1,1st,API1_1,"es la mejor opción de castigo para los delincuentes. No obstante, hay que (repensarlo) [repensarla]",,
API1,1st,API1_1,deberíamos respetar el derecho fundamental de cada persona para también (ofrecerles) [ofrecerle],,
API1,1st,API1_1,repetición léxica,,
API1,2nd,API1_2,cada minuto desforestan la selva tropical (por un tamaño de) [el equivalente a] 42 campos de fútbol,,
API1,2nd,API1_2,la selva tropical se reduce cada año (por) [en] unos 158.000 kilómetros cuadrados,,
API1,2nd,API1_2,no lo respetamos (suficientemente) [lo suficiente],,
API1,2nd,API1_2,la seva amazónica posee [una] enorme cantidad de especies,,
API1,2nd,API1_2,los ruidos que (aparecen en) [provienen de] la selva,,
API1,2nd,API1_2,esta (rara) cosa [rara],,
API1,2nd,API1_2,también (se puede poner el reloj) [puede marcar la hora],,
API1,2nd,API1_2,el pueblo Nurak (se) está desapareciendo por la riqueza mundial,,
API1,2nd,API1_2,muchos indígenas decidieron cambiar (la) [de] vida,,
API1,2nd,API1_2,unirse (con) [a] la civilización moderna,,
API1,2nd,API1_2,el pueblo está (antes la) [en peligro de] extinción,,
API1,2nd,API1_2,la jefa de la tribu nos explica (cuales) [qué] conflictos han surgido,,
API1,2nd,API1_2,¡cómo (se) ha cambiado esta región!,,
API1,2nd,API1_2,ya no podemos reconocer (la) [aquella] maravillosa zona,,
API1,2nd,API1_2,nosotros solo podemos intentar (a) resistirnos,,
API1,2nd,API1_2,nosotros solo podemos intentar (contraponernos) [resistirnos],,
API1,2nd,API1_2,"(a) [por] ello, a algunos les obligan a trabajar en las plantaciones de caucho",,
API1,2nd,API1_2,nos quitan la bonita superficie de (la) nuestra plantación,,
API1,2nd,API1_2,los grandes (abusan) [vulneran] nuestros derechos humanos,,
API1,2nd,API1_2,los grandes vulneran (nuestro derecho humano) [nuestros derechos humanos],,
API1,2nd,API1_2,bajo (el maltrato del respeto hacia nosotros) [el maltrato y la falta de respeto],,
API1,2nd,API1_2,para que la población mundial pueda entender (la vista nuestra) [nuestro punto de vista],,
API1,2nd,API1_2,no queremos ofender a las (poderosas) personas [poderosas],,
API1,2nd,API1_2,(qué) [que] se den cuenta,,
API1,2nd,API1_2,que se den cuenta [de] que nos están robando las plantaciones,,
API1,2nd,API1_2,(ósea) [o sea],,
API1,2nd,API1_2,tiene que (ser prohibido destruir) [prohibirse la destrucción de] la base de nuestra vida,,
API1,2nd,API1_2,tiene que prohibirse la destrucción de (nuestra) [la] base de (la) [nuestra] vida,,
API1,2nd,API1_2,la destrucción de la base de nuestra vida y (capturarnos como esclavos) [nuestra esclavización],,
API1,2nd,API1_2,¿por qué parece que nadie se (importe) [preocupe] por la reserva natural?,,
API1,2nd,API1_2,repetición léxica,,
API1,3rd,API1_3,tres millones de aguacates robados (por ladrones),,
API1,3rd,API1_3,entró en (la) [una] plantación de aguacates en Bogotá,,
API1,3rd,API1_3,para (plantar) [plantarlos] y reproducirlos,,
API1,3rd,API1_3,para saber a (que) [qué] hora,,
API1,3rd,API1_3,a qué hora (estaba) [habría] gente dentro,,
API1,3rd,API1_3,entraron a una hora (donde) [en la que] no había nadie,,
API1,3rd,API1_3,[de acuerdo con] lo que habían investigado días atrás,,
API1,3rd,API1_3,"(Pero) [No obstante], uno de los trabajadores ya había pulsado el botón de alarma",,
API1,3rd,API1_3,optaron por atar a todos los trabajadores y los (metieren) [metieron],,
API1,3rd,API1_3,los metieron (a) [en] una habitación,,
API1,3rd,API1_3,los metieron en una habitación (sacándoles) [tras quitarles] los teléfonos,,
API1,3rd,API1_3,ya se les había (caído) [arruinado] el plan,,
API1,3rd,API1_3,para que los demás no influyeran (a) [al] tomar la decisión,,
API1,3rd,API1_3,de hacer (o no) lo que pedían los ladrones [o no],,
API1,3rd,API1_3,se le (cruzaban) [pasaban] un montón de ideas por la cabeza,,
API1,3rd,API1_3,el trabajador hizo la llamada y le (confesó) [contó] a la compañía todo lo que esos ladrones,,
API1,3rd,API1_3,borrar todas las imágenes y videos de las (cameras) [cámaras],,
API1,3rd,API1_3,repetición léxica,,
API1,4th,API1_4,desde que el deporte gobierna las redes sociales (hay) [ejerce] una gran influencia,,
API1,4th,API1_4,en la vida personal [de la gente],,
API1,4th,API1_4,el nuevo estereotipo (de) [para] las mujeres,,
API1,4th,API1_4,(se considera) [consiste] en ser delgada y con curvas,,
API1,4th,API1_4,los hombres deben (ser) [estar] fuertes y definidos,,
API1,4th,API1_4,"pero, (esta) [esa] vida, la que vive esa gente, es una broma",,
API1,4th,API1_4,"temas como la nutrición, las dietas, el aspecto físico y el deporte (importa) [importan] a los jóvenes y se (hace viral) [hacen virales]",,
API1,4th,API1_4,un batido de (proteína) [proteínas],,
API1,4th,API1_4,¡(Qué) [que] disfruten de su juventud y que no confíen en esa invasión!,,
API1,4th,API1_4,aquí os presentamos un decálogo (de) [que] seguir para disfrutar la juventud,,
API1,4th,API1_4,"(Helados, Hamburguesas, Patatas fritas) [helados, hamburguesas, patatas fritas]",,
API1,4th,API1_4,"si tu cuerpo te pide comer esa ""basura"", como (lo) [la] llaman los nutricionistas, ¡(cómelo) [cómela]!",,
API1,4th,API1_4,no (hay) [existe la] buena alimentación,,
API1,4th,API1_4,cada día es [un] cheat day.,,
API1,4th,API1_4,dile que no existe [la] buena alimentación.,,
API1,4th,API1_4,y una (coca cola) [Coca-Cola] fresca,,
API1,4th,API1_4,nutricionistas: ¿qué coño es (esto) [eso]?,,
API1,4th,API1_4,pagarás un huevo (para) [por] una cita en el nutricionista,,
API1,4th,API1_4,ni el espejo (no refleja la realidad) ni la báscula [reflejan la realidad],,
API1,4th,API1_4,te darás cuenta de (que) [qué] mentirosos son,,
API1,4th,API1_4,que [te] hacen ver todos los poros y granos,,
API1,4th,API1_4,(ni) la báscula [tampoco] define bien el cuerpo que tienes,,
API1,4th,API1_4,"pero, (de verdad) [en realidad], solo te hace malgastar tu tiempo libre",,
API1,4th,API1_4,hacer (por dos horas) deporte [por dos horas],,
API1,4th,API1_4,la naturaleza se irá por el (sumidero) [desagüe],,
API1,4th,API1_4,¿qué te importa el medioambiente (en el ámbito de) [para] comer carne?,,
API1,4th,API1_4,[los] batidos de proteínas son para hacer,,
API1,4th,API1_4,batidos de (proteína) [proteínas],,
API1,4th,API1_4,¿qué es este polvo (qué) [que] suele tomar la gente?,,
API1,4th,API1_4,en vez de ponerse (fuerte) [fuertes] se van a convertir en un pastel,,
API1,4th,API1_4,qué ridículo (eres) [estás] con todo el sudor en la cara,,
API1,4th,API1_4,te forras si no pagas (para) [por] este estilo de vida,,
API1,4th,API1_4,repetición léxica,,
ARE1,1st,ARE1_1,cuando hablamos de la cárcel y (todos) [todas] sus consecuencias,,
ARE1,1st,ARE1_1,todas sus consecuencias y efectos (que vienen con ella como sistema),,
ARE1,1st,ARE1_1,creo que es necesario (verlo) [verlas] desde dos puntos de vista diferentes,,
ARE1,1st,ARE1_1,porque (las dos cosas) [ambas perspectivas] están inevitablemente entrelazadas,,
ARE1,1st,ARE1_1,por lo menos en las naciones (del llamado oeste) [occidentales],,
ARE1,1st,ARE1_1,una de las razones podría ser que (cuánto) [cuanto] más grande es un grupo o una sociedad,,
ARE1,1st,ARE1_1,sobre el asunto (y) [e] intentar,,
ARE1,1st,ARE1_1,intentar (a) encontrar una solución,,
ARE1,1st,ARE1_1,lleguen a ser (una persona más reflexiva) [personas más reflexivas],,
ARE1,1st,ARE1_1,lo que seguramente es bueno si (tienes) [tienen] que convivir con otros en una comunidad,,
ARE1,1st,ARE1_1,"si han pasado años viviendo aislados en un lugar artificial, sin responsabilidad (ninguna) [alguna]",,
ARE1,1st,ARE1_1,hay que tener mucho cuidado [para] que los carceleros,,
