"","participant_ID","text_ID","error","error_type","fb_type","error_item","error_reps","solution_item","pass_solution_reps","fail_solution_reps","word_count","TextNum","error_count","error_rate","error_count_per_type","error_rate_per_type","fb_rate_per_type"
"45","AFJ1","AFJ1_2","me alegra (de) que huela un poco a puerto y a animales marinos","Government","D.M.","de",0,NA,0,0,583,2,14,0.0240137221269297,3,0.00514579759862779,0.001669449081803
"46","AFJ1","AFJ1_2","no es la primera vez (en) esta semana","Government","D.N.M","en",0,NA,0,0,583,2,14,0.0240137221269297,3,0.00514579759862779,0.0534223706176962
"47","AFJ1","AFJ1_2","el cielo azul (arriba) [encima] de mí","Substitution","D.N.M","arriba",0,"encima",0,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"48","AFJ1","AFJ1_2","(tomaron) [sacaron] ventaja de todas las vacaciones","Substitution","I.M.","tomaron",0,"sacaron",0,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.00667779632721202
"49","AFJ1","AFJ1_2","el cielo azul encima de mí [me] promete en secreto que los rayos del sol","Pronoun","D.N.M",NA,0,"me",0,0,583,2,14,0.0240137221269297,1,0.00171526586620926,0.0534223706176962
"50","AFJ1","AFJ1_2","como si la gente que me rodea en esta playa (fuera) [estuviera] más contenta","Substitution","D.N.M","fuera",0,"estuviera",0,1,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"51","AFJ1","AFJ1_2","no hay (tal) [esa] insatisfacción básica","Determination","D.N.M","tal",0,"esa",0,1,583,2,14,0.0240137221269297,1,0.00171526586620926,0.0534223706176962
"52","AFJ1","AFJ1_2","este sonido siempre me ha (dado) [producido] un sentimiento","Substitution","D.N.M","dado",0,"producido",0,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"53","AFJ1","AFJ1_2","(liberdad) [libertad]","Creation","I.L.","liberdad",0,"libertad",0,0,583,2,14,0.0240137221269297,2,0.00343053173241852,0.00333889816360601
"54","AFJ1","AFJ1_2","(como) [cómo] las olas azules regresan al mar","Substitution","D.N.M","como",0,"cómo",0,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"55","AFJ1","AFJ1_2","(como) [cómo] el agua ilumina","Substitution","D.N.M","como",0,"cómo",0,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"56","AFJ1","AFJ1_2","ilumina (a) la arena","Government","D.M.","a",1,NA,0,0,583,2,14,0.0240137221269297,3,0.00514579759862779,0.001669449081803
"57","AFJ1","AFJ1_2","es mucho más (iluminoso) [luminoso] aquí que en el lugar que conozco","Creation","I.L.","iluminoso",0,"luminoso",0,0,583,2,14,0.0240137221269297,2,0.00343053173241852,0.00333889816360601
"58","AFJ1","AFJ1_2","no importa en (que) [qué] estado de ánimo","Substitution","D.N.M","que",0,"qué",1,0,583,2,14,0.0240137221269297,7,0.0120068610634648,0.0534223706176962
"59","AFJ1","AFJ1_3","aunque conocemos (a) los beneficios que trae la globalización","Government","D.M.","a",0,NA,0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.00343053173241852
"60","AFJ1","AFJ1_3","esta parte de la sociedad tiene menos (que) [de] 1 € al día para sobrevivir","Government","D.N.M","que",0,"de",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"61","AFJ1","AFJ1_3","la inquietud política que (hay) [esta conlleva]","Substitution","R","hay",0,"esta conlleva",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0
"62","AFJ1","AFJ1_3","no hay duda (en) [de] que tenemos un problema mundial","Government","D.N.M","en",0,"de",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"63","AFJ1","AFJ1_3","aquellos que ya (están) [son] más fuertes","Substitution","D.N.M","están",0,"son",2,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"64","AFJ1","AFJ1_3","los (países) [continentes] como África","Substitution","I.M.","países",0,"continentes",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.00171526586620926
"65","AFJ1","AFJ1_3","los (países) [continentes] como África","Substitution","I.L.","países",0,"continentes",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.00343053173241852
"66","AFJ1","AFJ1_3","deberíamos aprovechar (de) las oportunidades","Government","D.N.M","de",0,NA,0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"67","AFJ1","AFJ1_3","sin (dar) [tomar en] cuenta (de) [a] los que sufren","Substitution","R","dar, de",0,"tomar en, a",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0
"68","AFJ1","AFJ1_3","impuestos (de) [sobre el] trabajo","Government","D.N.M","de",0,"sobre el",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"69","AFJ1","AFJ1_3","la globalización tiene dos (lados) [caras]","Substitution","D.M.","lados",0,"caras",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.00343053173241852
"70","AFJ1","AFJ1_3","algunos países viven en riqueza y [se] aprovechan de la rápida expansión","Pronoun","D.N.M",NA,0,"se",8,0,322,3,28,0.0869565217391304,3,0.0093167701863354,0.0154373927958834
"71","AFJ1","AFJ1_3","expansión (en) [de] los mercados internacionales","Government","D.N.M","en",0,"de",1,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"72","AFJ1","AFJ1_3","expansión de [los] mercados internacionales","Determination","D.N.M",NA,0,"los",3,0,322,3,28,0.0869565217391304,1,0.0031055900621118,0.0154373927958834
"73","AFJ1","AFJ1_3","esta parte de la sociedad tiene menos de 1 € (cada) [al] día para sobrevivir","Substitution","D.N.M","cada",0,"al",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"74","AFJ1","AFJ1_3","un país [económicamente] fuerte (en la economía)","Analysis","D.N.M","en la economía",0,"económicamente",0,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0.0154373927958834
"75","AFJ1","AFJ1_3","tuvieron serias consecuencias que (traen adelante) [siguen en vigor]","Substitution","R","traen adelante",0,"siguen en vigor",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0
"76","AFJ1","AFJ1_3","claro [que] entiendo","Ellipsis","D.N.M",NA,0,"que",0,0,322,3,28,0.0869565217391304,1,0.0031055900621118,0.0154373927958834
"77","AFJ1","AFJ1_3","la vida que muchos países europeos nos ofrecen (son) [es] un beneficio","Number","D.M.","son",0,"es",2,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0.00343053173241852
"78","AFJ1","AFJ1_3","del crecimiento económico [asociado]","Specification","D.N.M",NA,0,"asociado",0,0,322,3,28,0.0869565217391304,1,0.0031055900621118,0.0154373927958834
"79","AFJ1","AFJ1_3","(inequilibrio) [desequilibrio]","Creation","D.N.M","inequilibrio",0,"desequilibrio",0,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0.0154373927958834
"80","AFJ1","AFJ1_3","desequilibrio de (forzas) [fuerzas]","Creation","D.N.M","forzas",0,"fuerzas",0,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0.0154373927958834
"81","AFJ1","AFJ1_3","deberíamos ayudar y remodelar el sistema (así) [para] que haya soluciones","Government","D.N.M","así",0,"para",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"82","AFJ1","AFJ1_3","para que haya soluciones y (limitar) [se limiten los] riesgos","Pronoun","D.N.M","limitar",0,"se limiten los",0,0,322,3,28,0.0869565217391304,3,0.0093167701863354,0.0154373927958834
"83","AFJ1","AFJ1_3","aquellos que ya son más (fuerte) [fuertes]","Number","D.N.M","fuerte",0,"fuertes",0,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0.0154373927958834
"84","AFJ1","AFJ1_3","¿qué (se) pasa con el resto?","Pronoun","D.N.M","se",0,NA,0,0,322,3,28,0.0869565217391304,3,0.0093167701863354,0.0154373927958834
"85","AFJ1","AFJ1_3","¿qué pasa (al) [con el] resto?","Government","D.N.M","al",0,"con el",0,0,322,3,28,0.0869565217391304,8,0.0248447204968944,0.0154373927958834
"86","AFJ1","AFJ1_3","no es un proceso simple (y que tarda mucho tiempo) [ni rápido]","Analysis","R","y que tarda mucho tiempo",0,"ni rápido",0,0,322,3,28,0.0869565217391304,2,0.0062111801242236,0
"87","AFJ1","AFJ1_4","un incidente en 2019 se desarrolló [de forma] similar (al) [a la] del sábado","Ellipsis","D.N.M","al",NA,"de forma, a la",NA,NA,462,4,15,0.0324675324675325,1,0.00216450216450216,0.0590062111801242
"88","AFJ1","AFJ1_4","no se lo (impidieron) [iban a impedir]","Synthesis","R","impidieron",NA,"iban a impedir",NA,NA,462,4,15,0.0324675324675325,1,0.00216450216450216,0.0124223602484472
"89","AFJ1","AFJ1_4","los estudiantes, (en un estado influenciado por) [bajo la influencia d] el alcohol","Analysis","R","en un estado influenciado por",NA,"bajo la influencia d",NA,NA,462,4,15,0.0324675324675325,1,0.00216450216450216,0.0124223602484472
"90","AFJ1","AFJ1_4","7 de marzo [de] 2023","Government","D.N.M",NA,NA,"de",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"91","AFJ1","AFJ1_4","hasta que llegó (un) otro compañero","Determination","D.N.M","un",NA,NA,NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"92","AFJ1","AFJ1_4","tras un (tiempo) [rato] de diversión","Substitution","D.N.M","tiempo",NA,"rato",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"93","AFJ1","AFJ1_4","la parte noreste (alrededor) del famoso parque","Excess word(s)","D.N.M","alrededor",NA,NA,NA,NA,462,4,15,0.0324675324675325,1,0.00216450216450216,0.0590062111801242
"94","AFJ1","AFJ1_4","vi tres figuras que se acercaban (al) [a la] alberca del jardín","Gender","D.M.","al",NA,"a la",NA,NA,462,4,15,0.0324675324675325,2,0.00432900432900433,0.0093167701863354
"95","AFJ1","AFJ1_4","eran estudiantes (de) Erasmus","Government","D.N.M","de",NA,NA,NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"96","AFJ1","AFJ1_4","[los] cuales venían de una fiesta","Determination","D.N.M",NA,NA,"los",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"97","AFJ1","AFJ1_4","pidió a los jóvenes que se alejaran del estanque, pero (esos) [estos] estaban","Determination","D.N.M","esos",NA,"estos",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"98","AFJ1","AFJ1_4","y no fue hasta que un coche (de) patrulla los detuvo cerca del Arco de Triunfo","Government","None","de",NA,NA,NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0
"99","AFJ1","AFJ1_4","(cuando) [que] se sorprendieron al verlos correr","Substitution","D.N.M","cuando",NA,"que",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0.0590062111801242
"100","AFJ1","AFJ1_4","con un (palmípeda) [palmípedo] bajo el brazo","Gender","D.N.M","palmípeda",NA,"palmípedo",NA,NA,462,4,15,0.0324675324675325,2,0.00432900432900433,0.0590062111801242
"101","AFJ1","AFJ1_4","algunos (extremistas) [activistas] del bienestar animal","Substitution","None","extremistas",NA,"activistas",NA,NA,462,4,15,0.0324675324675325,3,0.00649350649350649,0
"102","AMN1","AMN1_1","para reinsertarlos en (la misma sociedad) [ella]","Analysis","D.N.M","la misma sociedad",0,"ella",4,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
"103","AMN1","AMN1_1","no (lo podía) [pudo hacerlo] porque mi tío estaba preso","Synthesis","D.N.M","lo podía",0,"pudo hacerlo",0,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
"104","AMN1","AMN1_1","(nadie) [ninguno] de ellos olvidará jamás la sensación","Substitution","D.N.M","nadie",0,"ninguno",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"105","AMN1","AMN1_1","la sensación (del) [de] frío glacial","Determination","D.N.M","del",2,"de",20,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"106","AMN1","AMN1_1","por muy encantadora que sea la vista, el brillo del sol me está cegando y evito (mirarlo) [mirarla]","Gender","I.M.","mirarlo",0,"mirarla",0,0,1496,1,49,0.0327540106951872,2,0.00133689839572193,0
"107","AMN1","AMN1_1","un lugar donde (hay) las posibilidades de educarse o formarse son limitadas","Analysis","D.N.M","hay",0,NA,1,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
"108","AMN1","AMN1_1","(dentro de) [en cuestión de] unos segundos todo se ha acabado","Substitution","D.N.M","dentro de",1,"en cuestión de",1,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"109","AMN1","AMN1_1","en muchos casos (cause el contrario) [cause lo contrario]","Determination","R","cause el contrario",0,"cause lo contrario",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"110","AMN1","AMN1_1","la condena sigue (presentando efectos en) [afectando] su día a día","Analysis","R","presentando efectos en",0,"afectando",0,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
"111","AMN1","AMN1_1","se concentran (los) [varios] planes ilegales en pocas celdas","Determination","D.N.M","los",0,"varios",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"112","AMN1","AMN1_1","(Romanía) [Rumanía]","Creation","D.N.M","Romanía",0,"Rumanía",1,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"113","AMN1","AMN1_1","(al contrario) [en cambio], los dos sin armas","Substitution","D.N.M","al contrario",0,"en cambio",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"114","AMN1","AMN1_1","los países (occidentes) [occidentales]","Creation","D.N.M","occidentes",0,"occidentales",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"115","AMN1","AMN1_1","el color (negrito) [negro] guarda todo el calor","Substitution","D.M.","negrito",0,"negro",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"116","AMN1","AMN1_1","(guardia) [guardián]","Substitution","D.M.","guardia",0,"guardián",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"117","AMN1","AMN1_1","la [desfavorable] situación (desfavorable)","Order","D.N.M","desfavorable",0,"desfavorable",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"118","AMN1","AMN1_1","la desfavorable situación [se] exacerba","Pronoun","D.N.M",NA,0,"se",32,0,1496,1,49,0.0327540106951872,1,0.000668449197860963,0
"119","AMN1","AMN1_1","la desfavorable situación se exacerba [cada] vez más","Ellipsis","D.N.M",NA,0,"cada",2,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"120","AMN1","AMN1_1","la [estrecha] calle (estrecha)","Order","D.N.M","estrecha",0,"estrecha",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"121","AMN1","AMN1_1","los cuatro ladrones son (convictos) [detenidos] y metidos en el coche","Substitution","D.N.M","convictos",0,"detenidos",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"122","AMN1","AMN1_1","no le (hacen sentir) [inspiran] ninguna compasión","Substitution","D.M.","hacen sentir",0,"inspiran",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"123","AMN1","AMN1_1","al (final) [fin y al cabo] solo estaban presentes","Synthesis","D.N.M","final",0,"fin y al cabo",0,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
"124","AMN1","AMN1_1","una llamada en (la) prisión","Determination","D.N.M","la",2,NA,0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"125","AMN1","AMN1_1","ha dado [a] luz a un niño","Government","D.N.M",NA,0,"a",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"126","AMN1","AMN1_1","la barriga (grandote) [grandota] de su hermana","Gender","D.N.M","grandote",0,"grandota",0,0,1496,1,49,0.0327540106951872,2,0.00133689839572193,0
"127","AMN1","AMN1_1","obligan [a] los estados a gestionar las cárceles","Government","D.N.M",NA,0,"a",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"128","AMN1","AMN1_1","(dependiente) [dependiendo] de la gravedad del crimen","Substitution","D.N.M","dependiente",0,"dependiendo",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"129","AMN1","AMN1_1","es el lugar (cierto) [adecuado] para cambiar el comportamiento","Substitution","D.N.M","cierto",0,"adecuado",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"130","AMN1","AMN1_1","el miedo (es) [está] muy presente","Substitution","D.N.M","es",1,"está",2,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"131","AMN1","AMN1_1","(aparte) [fuera] de los países occidentales","Substitution","D.N.M","aparte",0,"fuera",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"132","AMN1","AMN1_1","a nadie le gustaría (pasar) [cumplir] una condena","Substitution","D.N.M","pasar",0,"cumplir",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"133","AMN1","AMN1_1","el miedo a la (deprivación) [privación] completa de la libertad","Creation","D.N.M","deprivación",0,"privación",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"134","AMN1","AMN1_1","(resulta) [es] indudable que las razones","Substitution","D.N.M","resulta",0,"es",1,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"135","AMN1","AMN1_1","las razones (por) [para] cometer delitos son muy diversas","Government","D.N.M","por",0,"para",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"136","AMN1","AMN1_1","la decisión (por) [de] perpetrar el crimen","Government","D.N.M","por",0,"de",0,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"137","AMN1","AMN1_1","la decisión de [perpetrar] el crimen","Ellipsis","D.N.M",NA,0,"perpetrar",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"138","AMN1","AMN1_1","personas malas se vuelven (en) personas malísimas","Government","D.N.M","en",0,NA,1,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"139","AMN1","AMN1_1","(aprende uno del otro) [aprenden unos de otros]","Number","R","aprende uno del otro",0,"aprenden unos de otros",0,0,1496,1,49,0.0327540106951872,1,0.000668449197860963,0
"140","AMN1","AMN1_1","[pues] aprenden unos de otros","Ellipsis","D.N.M",NA,0,"pues",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"141","AMN1","AMN1_1","después de haber (vuelto a la) [sido puestos en] libertad","Substitution","R","vuelto a la",0,"sido puestos en",0,0,1496,1,49,0.0327540106951872,15,0.0100267379679144,0
"142","AMN1","AMN1_1","se atribuye al hecho [de] que hay una escasez inmensa de psicólogos","Government","D.N.M",NA,2,"de",1,0,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"143","AMN1","AMN1_1","[y a que] las terapias son genéricas y voluntarias","Ellipsis","D.N.M",NA,0,"y a que",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"144","AMN1","AMN1_1","[muchos entraron en la cárcel] a causa de la falta de recursos financieros (muchos entraron en la cárcel)","Order","D.N.M","muchos entraron en la cárcel",0,"muchos entraron en la cárcel",0,0,1496,1,49,0.0327540106951872,4,0.00267379679144385,0
"145","AMN1","AMN1_1","a causa de [la] falta de recursos financieros","Determination","D.N.M",NA,0,"la",2,2,1496,1,49,0.0327540106951872,6,0.00401069518716578,0
"146","AMN1","AMN1_1","(sintetizando) [en resumen], se puede decir que siempre es fácil","Synthesis","None","sintetizando",0,"en resumen",0,0,1496,1,49,0.0327540106951872,3,0.00200534759358289,0
